id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,team_id,country,team,assists,corners_taken,offsides,dribbles,total_attempts,attempts_on_target,attempts_off_target,blocked,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,yellow_cards,red_cards,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,distance_covered(km/h),top_speed,minutes_played,avg_goals_per_game,team_index,passes_per_90,assists_per_90,showman_index,appearance,aggression_index,runner_index,saves_per_90,goals_conceded_per_90,punches_made_per_90,clean_sheets_per_90
250029377,Danijel Zagorac,Croatia,Goalkeeper,GOALKEEPER,75.5785938277965,188.62005139822372,37,50164,Croatia,GNK Dinamo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,79.0,33.0,26.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.21,22.01,90.0,0.0,42.699999999999996,26.0,0.0,0.0,45.5,0.0,28.220000000000002,3.0,1.0,2.0,0.0
250090101,Matvei Safonov,Russia,Goalkeeper,GOALKEEPER,73.40749972875794,185.9943254856049,25,52747,France,Paris Saint-Germain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,83.0,24.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,23.96,90.0,0.0,41.6,20.0,0.0,0.0,45.5,0.0,29.98,1.0,0.0,0.0,1.0
250081931,Joël Drommel,Netherlands,Goalkeeper,Unknown,74.3250148031299,188.0188121267822,27,50062,Netherlands,PSV Eindhoven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,84.0,45.0,38.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,24.46,90.0,0.0,49.5,38.0,0.0,0.0,45.5,0.0,29.990000000000002,2.0,3.0,0.0,0.0
250117491,Matěj Kovář,Czechia,Goalkeeper,GOALKEEPER,74.55510458377289,187.2964335554476,24,50109,Germany,Bayer 04 Leverkusen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,89.0,36.0,32.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,22.15,90.0,0.0,48.800000000000004,32.0,0.0,0.0,45.5,0.0,27.59,2.0,1.0,0.0,0.0
250007631,Marc-André ter Stegen,Germany,Goalkeeper,GOALKEEPER,85.99498169864151,187.0,32,50080,Spain,FC Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,70.0,54.0,38.0,0.0,0.0,0.0,3.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11,24.12,90.0,0.0,44.8,38.0,0.0,0.0,45.5,0.0,29.23,6.0,2.0,2.0,0.0
250193518,Marlon Gomes,Brazil,Midfielder,Unknown,74.94287136379134,179.97962677568324,20,52707,Ukraine,FC Shakhtar Donetsk,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1,0,87.5,50.0,43.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.74,31.92,89.0,0.0,53.04494382022472,43.48314606741573,0.0,5.056179775280898,46.5,6.067415730337078,44.660000000000004,0.0,0.0,0.0,3.033707865168539
250089688,Vanja Drkušić,Slovenia,Defender,UNKNOWN,72.94943598515043,185.04332467257913,25,50069,Serbia,FK Crvena Zvezda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,6.0,1.0,0.0,0,0,96.0,49.0,47.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16,31.36,89.0,0.0,57.55842696629214,47.52808988764045,0.0,0.0,45.0,1.5168539325842696,40.519999999999996,0.0,0.0,0.0,0.0
250056982,Guélor Kanga,Gabon,Midfielder,ATTACKING_MIDFIELDER,73.95077233260493,182.483780568525,34,50069,Serbia,FK Crvena Zvezda,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,6.0,0,0,88.5,46.0,40.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71,28.83,88.0,0.0,52.27272727272727,40.909090909090914,0.0,1.0227272727272727,45.0,0.0,40.54,0.0,0.0,0.0,0.0
250141610,Meschack Elia,DR Congo,Forward,STRIKER,76.21846087833406,183.38187685932678,27,50031,Switzerland,BSC Young Boys,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1,0,58.34,11.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88,33.41,86.0,0.0,27.26158139534884,9.41860465116279,0.0,1.0465116279069766,44.5,6.27906976744186,45.29,0.0,0.0,0.0,1.0465116279069766
250121552,Romain Faivre,France,Midfielder,UNKNOWN,75.10087387871715,179.6680970146412,26,2601306,France,Stade Brestois 29,0.0,3.0,0.0,11.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,87.0,25.0,21.0,25.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39,30.8,86.0,0.0,43.89302325581396,21.97674418604651,0.0,11.511627906976743,44.5,0.0,42.19,0.0,0.0,0.0,2.093023255813953
