id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,team_id,country,team,assists,corners_taken,offsides,dribbles,total_attempts,attempts_on_target,attempts_off_target,blocked,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,yellow_cards,red_cards,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,distance_covered(km/h),top_speed,minutes_played,avg_goals_per_game,team_index,passes_per_90,assists_per_90,showman_index,appearance,aggression_index,runner_index,saves_per_90,goals_conceded_per_90,punches_made_per_90,clean_sheets_per_90,height(cm)_scaled,weight(kg)_scaled,avg_goals_per_game_scaled,team_index_scaled,showman_index_scaled,top_speed_scaled,runner_index_scaled,aggression_index_scaled,archetype,archetype_name
250058258,Benjamin Henrichs,Germany,Defender,UNKNOWN,76.28190006497333,183.0,27,2603790,Germany,RB Leipzig,0.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,26.0,8.0,3.0,5.0,4.0,3.0,3.0,1,0,87.5,149.0,129.0,25.0,8.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,33.07,295.0,0.0,61.706779661016945,39.355932203389834,0.0,1.2203389830508475,149.5,3.2033898305084745,65.82,0.0,0.0,0.0,0.0,0.3038096646847656,0.2489518119358208,-0.32502993851355877,0.5605155099741589,-0.14399789556608159,0.5202957464057572,0.8003786767878084,0.02265559040980337,2,Physical Engine
250194673,Deniz Undav,Germany,Forward,Unknown,76.10588703075244,185.39913642700907,28,50107,Germany,VfB Stuttgart,0.0,0.0,8.0,2.0,13.0,5.0,4.0,4.0,2.0,3.0,2.0,1.0,0.0,6.0,6.0,0,0,81.0,66.0,53.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,30.59,294.0,0.30612244897959184,43.86734693877551,16.224489795918366,0.0,0.9183673469387755,149.0,3.36734693877551,64.59,0.0,0.0,0.0,0.30612244897959184,1.041480465397976,0.19364506862258957,0.5297637724687876,-0.10792251284803588,-0.27366974724394516,0.299727839611598,0.7482431772310434,0.04825187423934697,2,Physical Engine
250143693,Pedri,Spain,Midfielder,UNKNOWN,75.27647341071334,178.07718517789718,21,50080,Spain,FC Barcelona,1.0,5.0,0.0,10.0,2.0,0.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,2.0,0,0,86.5,159.0,138.0,40.0,5.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91,31.42,290.0,0.0,63.41034482758621,42.82758620689655,0.3103448275862069,3.103448275862069,147.0,0.7758620689655172,71.33,0.0,0.0,0.0,0.3103448275862069,-1.2098252877512772,-0.06697293837360614,-0.32502993851355877,0.6243475695144045,0.6646418563475629,0.3735469374499659,1.0339287601681155,-0.3563196808992652,4,Balanced Player
250128255,Emerson,Brazil,Defender,UNKNOWN,77.3400908827059,185.86432882582184,25,50058,Italy,AC Milan,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,12.0,5.0,2.0,3.0,4.0,3.0,4.0,0,0,90.0,172.0,162.0,33.34,6.0,2.0,10.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.69,32.11,290.0,0.0,68.28275862068965,50.275862068965516,0.0,0.6206896551724138,147.0,2.0172413793103448,66.8,0.0,0.0,0.0,0.3103448275862069,1.184514786187196,0.5814560960180297,-0.32502993851355877,0.8069154063365409,-0.40149770483467234,0.4349146211951148,0.8419175300931989,-0.16252084226667543,2,Physical Engine
250106148,Nicolas Kühn,Germany,Midfielder,Unknown,75.61299137343283,181.337345295231,24,50050,Scotland,Celtic FC,1.0,1.0,2.0,16.0,4.0,3.0,1.0,0.0,9.0,4.0,1.0,3.0,1.0,3.0,1.0,0,0,72.5,104.0,76.0,50.0,8.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,35.09,35.94,289.0,0.6228373702422145,46.562629757785466,23.66782006920415,0.31141868512110726,4.982698961937716,146.5,1.7128027681660898,71.03,0.0,0.0,0.0,0.31141868512110726,-0.20741254576100437,0.038767597642960075,1.4141351205093464,-0.006931099806103702,1.4716246556853276,0.7755497353167394,1.0212127846664656,-0.21004849862683048,0,Explosive Attacker
250118391,Edmond Tapsoba,Burkina Faso,Defender,CENTRE_BACK,77.87246755615105,179.71960456401638,25,50109,Germany,Bayer 04 Leverkusen,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,18.0,7.0,2.0,5.0,12.0,4.0,3.0,0,0,89.25,166.0,147.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78,32.3,288.0,0.0,66.14375000000001,45.9375,0.3125,0.3125,146.0,2.5,66.08,0.0,0.0,0.0,0.9375,-0.7048249009346458,0.7487392756672856,-0.32502993851355877,0.7267674153395624,-0.5338396816133699,0.4518129688930542,0.8113991888892387,-0.0871546272428905,2,Physical Engine
250004721,Granit Xhaka,Switzerland,Midfielder,CENTRAL_MIDFIELDER,83.83397486141973,185.0,32,50109,Germany,Bayer 04 Leverkusen,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,18.0,9.0,3.0,6.0,4.0,5.0,0.0,1,0,91.75,228.0,210.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.33,31.34,288.0,0.0,79.1875,65.625,0.0,0.3125,146.0,4.21875,69.67,0.0,0.0,0.0,0.9375,0.9187566034320902,2.6219616523617177,-0.32502993851355877,1.2155126908166576,-0.5338396816133699,0.3664318436824122,0.9635670290589852,0.18116928562080803,2,Physical Engine
250129446,Liam Scales,Republic of Ireland,Defender,UNKNOWN,75.19783228284858,182.10237395445088,26,50050,Scotland,Celtic FC,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,3.0,2.0,1.0,18.0,2.0,0.0,0,0,95.75,220.0,209.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34.04,32.1,287.0,0.313588850174216,79.96202090592334,65.54006968641114,0.0,0.313588850174216,145.5,1.5679442508710801,66.14,0.0,0.0,0.0,0.627177700348432,0.02781347025961756,-0.09168352126839809,0.5506123995659179,1.244533749448437,-0.5333721104861335,0.4340252344741708,0.8139423839895689,-0.23266319196340107,2,Physical Engine
250107477,Jeff Chabot,Germany,Defender,Unknown,75.62911343529565,185.53531323324427,26,50107,Germany,VfB Stuttgart,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,13.0,7.0,5.0,2.0,21.0,1.0,1.0,0,0,85.75,212.0,197.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.58,32.38,286.0,0.0,74.09790209790211,61.99300699300699,0.0,0.0,145.0,2.0454545454545454,65.96000000000001,0.0,0.0,0.0,0.3146853146853147,1.0833512204593374,0.04383346529914648,-0.32502993851355877,1.0248070326486858,-0.6680325951302312,0.4589280626606082,0.8063127986885791,-0.15811632320684382,2,Physical Engine
250112690,Denzel Dumfries,Netherlands,Defender,FULL_BACK,76.193673459615,184.1721326528781,28,50138,Italy,FC Internazionale Milano,0.0,0.0,4.0,5.0,4.0,1.0,3.0,0.0,8.0,3.0,1.0,2.0,8.0,11.0,7.0,1,0,84.25,80.0,66.0,25.0,12.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.49,33.48,285.0,0.0,47.952631578947376,20.842105263157897,0.0,1.8947368421052633,144.5,6.473684210526316,67.97,0.0,0.0,0.0,1.2631578947368423,0.6642093580313511,0.2212292842403586,-0.32502993851355877,0.045151838229157804,0.14560022787726423,0.5567606019644686,0.8915098345496344,0.5331999885261963,2,Physical Engine
250017824,Emre Can,Germany,Defender,DEFENSIVE_MIDFIELDER,81.70863447154599,184.0,30,52758,Germany,Borussia Dortmund,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,17.0,9.0,2.0,7.0,6.0,8.0,6.0,0,0,88.25,213.0,197.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,35.26,33.52,284.0,0.31690140845070425,75.39225352112676,62.429577464788736,0.31690140845070425,1.5845070422535212,144.0,4.436619718309859,68.78,0.0,0.0,0.0,0.6338028169014085,0.6112831340584279,1.954138068066952,0.5598621425737997,1.0733059798769065,0.012382177631318696,0.5603181488482459,0.9258429684040898,0.21518217598381206,2,Physical Engine
250112803,Ferland Mendy,France,Defender,FULL_BACK,73.16085541245025,181.11455454793324,29,50051,Spain,Real Madrid C.F.,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,2.0,2.0,1.0,0,0,96.0,135.0,130.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.17,33.37,284.0,0.0,64.25915492957748,41.19718309859155,0.0,0.9507042253521127,144.0,0.9507042253521127,63.54,0.0,0.0,0.0,0.0,-0.27591478977699463,-0.7317415567700725,-0.32502993851355877,0.6561522213304439,-0.25978373147330125,0.5469773480340826,0.7037372629752678,-0.32902406982425253,4,Balanced Player
250081207,Donny van de Beek,Netherlands,Midfielder,CENTRAL_MIDFIELDER,74.98022150444994,180.0,27,2602798,Spain,Girona FC,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,7.0,5.0,2.0,3.0,0.0,4.0,0.0,1,0,79.0,109.0,93.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,37.28,29.25,283.0,0.31802120141342755,51.37279151943463,29.575971731448764,0.0,0.31802120141342755,143.5,3.498233215547703,66.53,0.0,0.0,0.0,0.6360424028268551,-0.6186107434362211,-0.16006109067034446,0.5629889697154511,0.17330417266436005,-0.5314687820812699,0.18055001900507653,0.830473152141714,0.06868528103130384,4,Balanced Player
250104066,Dominik Szoboszlai,Hungary,Midfielder,CENTRAL_MIDFIELDER,74.43055689579604,183.5080490638335,24,7889,England,Liverpool FC,1.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,0,0,85.0,148.0,120.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,36.85,33.35,282.0,0.3191489361702128,60.353191489361706,38.297872340425535,0.3191489361702128,1.2765957446808511,143.0,1.2765957446808511,70.2,0.0,0.0,0.0,0.9574468085106383,0.4600212729536963,-0.33277647821964573,0.5661379729361214,0.5097969801159373,-0.11984026757198958,0.5451985745921946,0.9860319191119004,-0.2781472770182117,2,Physical Engine
250112969,Artem Bondarenko,Ukraine,Midfielder,CENTRAL_MIDFIELDER,76.5107798916044,180.66231786470914,24,52707,Ukraine,FC Shakhtar Donetsk,0.0,1.0,1.0,4.0,4.0,0.0,2.0,2.0,11.0,3.0,1.0,2.0,1.0,4.0,6.0,0,0,91.0,149.0,136.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.07,32.37,282.0,0.0,64.32127659574468,43.40425531914894,0.0,1.2765957446808511,143.0,2.2340425531914896,72.44,0.0,0.0,0.0,0.6382978723404256,-0.41496557174594667,0.3208703370444541,-0.32502993851355877,0.6584799009351576,-0.11984026757198958,0.4580386759396636,1.080977869524221,-0.12867476849839507,2,Physical Engine
250113993,Matěj Ryneš,Czechia,Defender,CENTRAL_MIDFIELDER,74.33747232721998,184.634035329671,23,50033,Czechia,AC Sparta Praha,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,16.0,5.0,2.0,3.0,9.0,3.0,1.0,1,0,69.75,87.0,58.0,50.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.39,33.37,282.0,0.0,42.15319148936171,18.51063829787234,0.0,0.6382978723404256,143.0,3.0319148936170213,66.75999999999999,0.0,0.0,0.0,0.3191489361702128,0.8062321765778463,-0.3620254731219114,-0.32502993851355877,-0.1721513870087882,-0.39393643135111034,0.5469773480340826,0.8402220666929786,-0.004114344731881282,2,Physical Engine
250121965,Éder Militão,Brazil,Defender,FULL_BACK,74.85319196319985,184.70266744318303,26,50051,Spain,Real Madrid C.F.,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,10.0,3.0,1.0,2.0,7.0,3.0,2.0,2,0,91.75,183.0,168.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.84,34.24,282.0,0.0,71.08510638297872,53.61702127659574,0.0,0.9574468085106383,143.0,3.670212765957447,64.08,0.0,0.0,0.0,0.0,0.8273347306298353,-0.1999762609429041,-0.32502993851355877,0.9119185096666872,-0.25688834946155,0.6243539927562275,0.726626018878238,0.09553399428132982,2,Physical Engine
250080553,Serhou Guirassy,Rep of Guinea,Forward,STRIKER,76.56564361920324,182.9391961558,28,52758,Germany,Borussia Dortmund,2.0,0.0,1.0,2.0,10.0,7.0,2.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,6.0,0,0,85.0,74.0,64.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,32.13,32.12,281.0,0.9608540925266904,47.677580071174376,20.498220640569397,0.6405693950177936,0.6405693950177936,142.5,0.0,64.25,0.0,0.0,0.0,0.6405693950177936,0.2851140957573375,0.3381095949945688,2.3579880440004253,0.03484574336097147,-0.3929610001632843,0.43580400791605883,0.7338317383291731,-0.4774439550446338,0,Explosive Attacker
