id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,team_id,country,team,assists,corners_taken,offsides,dribbles,total_attempts,attempts_on_target,attempts_off_target,blocked,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,yellow_cards,red_cards,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,distance_covered(km/h),top_speed,minutes_played,avg_goals_per_game,team_index,passes_per_90,assists_per_90,showman_index,appearance,aggression_index,runner_index,saves_per_90,goals_conceded_per_90,punches_made_per_90,clean_sheets_per_90,saves_per_90_scaled,clean_sheets_per_90_scaled,goals_conceded_per_90_scaled,punches_made_per_90_scaled,height(cm)_scaled,weight(kg)_scaled,saves_on_penalty_scaled,archetype,archetype_name
97746,Yann Sommer,Switzerland,Goalkeeper,GOALKEEPER,78.76231283508203,183.0,35,50138,Italy,FC Internazionale Milano,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0,0,82.0,184.0,154.0,0.0,0.0,0.0,10.0,4.0,15.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.84,21.24,360.0,0.0,62.75,38.5,0.0,0.25,182.0,0.0,41.08,3.75,0.0,1.0,1.0,1.134240031854055,3.431641659171356,-0.6359079710883869,1.7642939950558014,-1.7409822478589558,0.24828795268082654,-0.24889134708717228,0,Shot Stopper
250135068,Lucas Chevalier,France,Goalkeeper,GOALKEEPER,77.51042346291301,189.02974829178976,23,75797,France,LOSC Lille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0,65.0,142.0,93.0,0.0,0.0,0.0,10.0,4.0,13.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.66,24.81,360.0,0.0,47.175000000000004,23.25,0.0,0.0,182.0,0.0,44.47,3.25,1.0,0.25,0.25,0.8922817947403061,0.5160189413319033,0.28906797127310696,0.03226737571500932,0.3288694962541448,-0.039744884589793195,-0.24889134708717228,2,Commanding Keeper
250123304,Kjell Scherpen,Netherlands,Goalkeeper,GOALKEEPER,76.61197391733323,189.4066954285765,24,50111,Austria,SK Sturm Graz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,72.75,119.0,85.0,0.0,0.0,0.0,8.0,4.0,14.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.64,22.24,360.0,0.0,47.375,21.25,0.0,0.0,182.0,0.0,41.879999999999995,3.5,1.5,1.0,0.0,1.0132609132971806,-0.4558552979479144,0.7515559424538539,1.7642939950558014,0.45826539319048515,-0.24645881435938363,-0.24889134708717228,2,Commanding Keeper
250105612,Marco Carnesecchi,Italy,Goalkeeper,UNKNOWN,77.4412282849609,187.54831794369292,24,52816,Italy,Atalanta BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,63.0,129.0,78.0,0.0,0.0,0.0,11.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.02,29.6,360.0,0.0,43.95,19.5,0.0,0.0,182.0,0.0,48.620000000000005,1.0,0.0,1.0,1.0,-0.1965302722715643,3.431641659171356,-0.6359079710883869,1.7642939950558014,-0.17966602486628308,-0.05566520780210736,-0.24889134708717228,0,Shot Stopper
250157134,Dominik Takáč,Slovakia,Goalkeeper,Unknown,75.78251431246348,186.01364011917897,25,52797,Slovakia,ŠK Slovan Bratislava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,65.0,83.0,53.0,0.0,0.0,0.0,6.0,4.0,23.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.72,23.35,360.0,0.0,38.275000000000006,13.25,0.0,0.0,182.0,0.0,42.07,5.75,3.75,0.25,0.0,2.102072980309051,-0.4558552979479144,2.8327518127672153,0.03226737571500932,-0.7064799842561247,-0.4372996415948328,4.0178174601214955,2,Commanding Keeper
74954,Kasper Schmeichel,Denmark,Goalkeeper,GOALKEEPER,76.4576992405225,185.0,38,50050,Scotland,Celtic FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,88.0,145.0,126.0,0.0,0.0,0.0,8.0,4.0,17.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.61,22.89,360.0,0.0,59.150000000000006,31.5,0.0,0.25,182.0,1.125,41.5,4.25,2.25,1.0,0.25,1.376198268967804,0.5160189413319033,1.4452878992249742,1.7642939950558014,-1.054435598164985,-0.28195410161772366,-0.24889134708717228,2,Commanding Keeper
250040573,Łukasz Skorupski,Poland,Goalkeeper,UNKNOWN,77.71500709664733,187.0,33,52969,Italy,Bologna FC 1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0,0,81.75,132.0,109.0,0.0,0.0,0.0,9.0,4.0,10.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.15,27.16,360.0,0.0,54.075,27.25,0.0,0.0,182.0,0.0,45.31,2.5,1.25,0.75,0.25,0.5293444390696826,0.5160189413319033,0.5203119568634804,1.1869517886088707,-0.3678889484710145,0.007325412349889288,4.0178174601214955,2,Commanding Keeper
250113444,Anatoliy Trubin,Ukraine,Goalkeeper,GOALKEEPER,76.0077473485445,184.1384260036263,23,50147,Portugal,SL Benfica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,82.25,119.0,97.0,0.0,0.0,0.0,9.0,4.0,14.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81,22.68,360.0,0.0,52.074999999999996,24.25,0.0,0.0,182.0,0.0,40.489999999999995,3.5,1.25,1.25,0.25,1.0132609132971806,0.5160189413319033,0.5203119568634804,2.341636201502732,-1.3501909685018871,-0.38547836099949445,-0.24889134708717228,2,Commanding Keeper
250085475,Paulo Gazzaniga,Argentina,Goalkeeper,UNKNOWN,76.38769942426109,188.18132801698007,32,2602798,Spain,Girona FC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2,0,74.75,145.0,110.0,0.0,0.0,0.0,6.0,4.0,16.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81,23.12,360.0,0.0,52.650000000000006,27.5,0.0,0.75,182.0,1.5,40.93,4.0,2.0,0.5,0.25,1.2552191504109296,0.5160189413319033,1.2140439136346008,0.6096095821619401,0.03762944765263175,-0.2980595548106559,4.0178174601214955,2,Commanding Keeper
250042780,Mike Maignan,France,Goalkeeper,GOALKEEPER,79.13592656441062,187.0,29,50058,Italy,AC Milan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0,0,85.0,151.0,127.0,0.0,0.0,0.0,7.0,4.0,27.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.77,26.4,321.0,0.0,59.782242990654204,35.60747663551402,0.0,0.2803738317757009,162.5,0.0,45.17,7.5700934579439245,1.4018691588785046,0.8411214953271028,0.0,2.9828461892418097,-0.4558552979479144,0.6607872752127727,1.3973849292764435,-0.3678889484710145,0.3342484415979288,-0.24889134708717228,2,Commanding Keeper
